"Time","Type","Details"
"2024-10-16 4:13 PM","Application Error","Faulting application name: AdobeARM.exe, version: 1.824.460.1091, time stamp: 0x66aa7004&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x5870&#x000d;&#x000a;Faulting application start time: 0x0x1DB1FDDB835A3B3&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: f63362df-e220-4706-bbc9-65df718c1eb4&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-15 10:22 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x6C38&#x000d;&#x000a;Faulting application start time: 0x0x1DB1F4138E2309C&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 731983e9-dab0-402d-a975-efa27dccbf58&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-15 8:14 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x1AEC&#x000d;&#x000a;Faulting application start time: 0x0x1DB1F3EAE2408A4&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 24d9a86e-9b5f-4d9a-869a-0e14ea6c430a&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-15 7:36 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x4378&#x000d;&#x000a;Faulting application start time: 0x0x1DB1F2154EBB7DC&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 3cfa613e-53ce-4b1d-9719-2f071ea6aed2&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-15 3:11 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0x4BF0&#x000d;&#x000a;Faulting application start time: 0x0x1DB1F14759A3966&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 68dbaac3-2256-436c-bc70-86f13b1bc302&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-10 10:27 PM","Application Error","Faulting application name: dockManagersetup_1.5.2.2.tmp, version: 51.1052.0.0, time stamp: 0x5e12d454&#x000d;&#x000a;Faulting module name: dockManagersetup_1.5.2.2.tmp, version: 51.1052.0.0, time stamp: 0x5e12d454&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000a600&#x000d;&#x000a;Faulting process id: 0x0x1B98&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B637EB53F42&#x000d;&#x000a;Faulting application path: C:\Users\bwalter\AppData\Local\Temp\is-091BH.tmp\dockManagersetup_1.5.2.2.tmp&#x000d;&#x000a;Faulting module path: C:\Users\bwalter\AppData\Local\Temp\is-091BH.tmp\dockManagersetup_1.5.2.2.tmp&#x000d;&#x000a;Report Id: 1b6d79c2-cae2-427b-bd67-a77175c37174&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-10 10:27 PM","Application Error","Faulting application name: WerFault.exe, version: 10.0.22621.3810, time stamp: 0x1aa5faec&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x8664&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B638D03A7FA&#x000d;&#x000a;Faulting application path: C:\windows\SysWOW64\WerFault.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: be73550c-abc8-4d1e-bc4f-d36b630c5c10&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-10 10:27 PM","Application Error","Faulting application name: dockManagersetup_1.5.2.2.tmp, version: 51.1052.0.0, time stamp: 0x5e12d454&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x1B98&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B637EB53F42&#x000d;&#x000a;Faulting application path: C:\Users\bwalter\AppData\Local\Temp\is-091BH.tmp\dockManagersetup_1.5.2.2.tmp&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: c3a8bb86-52e3-4b71-96a1-63ac4d979aba&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-10 9:32 PM","Application Error","Faulting application name: Photos.exe, version: 0.0.0.0, time stamp: 0x66a9ebeb&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xf9f266e7&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000037ce0&#x000d;&#x000a;Faulting process id: 0x0xE38&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B4BFA0B9004&#x000d;&#x000a;Faulting application path: C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: e0260ce4-b694-4ffc-a1d3-df4a7571cda4&#x000d;&#x000a;Faulting package full name: Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe&#x000d;&#x000a;Faulting package-relative application ID: App"
"2024-10-10 6:12 PM","Application Error","Faulting application name: AdobeARM.exe, version: 1.824.460.1091, time stamp: 0x66aa7004&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x74D8&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B3FFDA08591&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 2b15467c-c638-4158-a176-72d81c1e4a50&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-10 6:11 PM","Application Error","Faulting application name: advinst.exe, version: 21.7.1.0, time stamp: 0x663123c6&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000409&#x000d;&#x000a;Fault offset: 0x00099d40&#x000d;&#x000a;Faulting process id: 0x0x822C&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B3FBFA1DE46&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Caphyon\Advanced Installer 21.7.1\bin\x86\advinst.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: a93e8458-5052-45c7-a0e5-86b81f36534f&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-10 5:58 PM","Application Error","Faulting application name: bad_module_info, version: 0.0.0.0, time stamp: 0x00000000&#x000d;&#x000a;Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000&#x000d;&#x000a;Exception code: 0x00000000&#x000d;&#x000a;Fault offset: 0x00000000&#x000d;&#x000a;Faulting process id: 0x0x181C&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B24FADE4E88&#x000d;&#x000a;Faulting application path: bad_module_info&#x000d;&#x000a;Faulting module path: unknown&#x000d;&#x000a;Report Id: de1dbb01-0bfc-49af-83c4-328cc2805a5a&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-10 3:13 PM","Application Error","Faulting application name: WerFault.exe, version: 10.0.22621.3810, time stamp: 0x1aa5faec&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x183C&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B26FF9BC1C2&#x000d;&#x000a;Faulting application path: C:\windows\SysWOW64\WerFault.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 02fca897-a2fe-4669-ac03-f9edcbeea37f&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-10 3:13 PM","Application Error","Faulting application name: AdobeARM.exe, version: 1.824.460.1091, time stamp: 0x66aa7004&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4317, time stamp: 0xe4ff17f1&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x5938&#x000d;&#x000a;Faulting application start time: 0x0x1DB1B26BD28B02D&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: dc2d9b0b-296c-4bd3-ba8c-c1a3030dc16e&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-09 11:52 PM","Application Error","Faulting application name: lua.exe, version: 6.5.0.1, time stamp: 0x528d0d55&#x000d;&#x000a;Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x000000a0&#x000d;&#x000a;Faulting process id: 0x0x2C1C&#x000d;&#x000a;Faulting application start time: 0x0x1DB14DA2B75FA16&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Kaseya\VC3TS234319429909567\extensions\lua.exe&#x000d;&#x000a;Faulting module path: unknown&#x000d;&#x000a;Report Id: 33467836-d705-4498-961b-c736d8f6d503&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-09 11:51 PM","Application Error","Faulting application name: PrintixService.exe, version: 2.3.0.216, time stamp: 0x65310000&#x000d;&#x000a;Faulting module name: KERNELBASE.dll, version: 10.0.22621.4249, time stamp: 0x0cf64c6a&#x000d;&#x000a;Exception code: 0xe0434352&#x000d;&#x000a;Fault offset: 0x000000000005fe4c&#x000d;&#x000a;Faulting process id: 0x0x1A64&#x000d;&#x000a;Faulting application start time: 0x0x1DB14DA2910BA42&#x000d;&#x000a;Faulting application path: C:\Program Files\printix.net\Printix Client\PrintixService.exe&#x000d;&#x000a;Faulting module path: C:\windows\System32\KERNELBASE.dll&#x000d;&#x000a;Report Id: 3d665aa4-deb7-4d68-bb7f-e82aa8b0802c&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-09 3:13 PM","Application Error","Faulting application name: AdobeARM.exe, version: 1.824.460.1091, time stamp: 0x66aa7004&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4249, time stamp: 0x04b4d1a0&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x27C8&#x000d;&#x000a;Faulting application start time: 0x0x1DB1A5DCE995F55&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: b71bf53a-e96d-49cd-aa51-c798a17338fb&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-08 2:57 PM","Application Error","Faulting application name: WerFault.exe, version: 10.0.22621.3810, time stamp: 0x1aa5faec&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4249, time stamp: 0x04b4d1a0&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x1E94&#x000d;&#x000a;Faulting application start time: 0x0x1DB19926A8E8135&#x000d;&#x000a;Faulting application path: C:\windows\SysWOW64\WerFault.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 0b9ac457-772d-450f-82da-679c7430992c&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-08 2:57 PM","Application Error","Faulting application name: AdobeARM.exe, version: 1.824.460.1091, time stamp: 0x66aa7004&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4249, time stamp: 0x04b4d1a0&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x33DC&#x000d;&#x000a;Faulting application start time: 0x0x1DB199269FEF3E2&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 2f7241ea-87bc-469d-b802-03e6f2673b5f&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-07 9:36 PM","Application Error","Faulting application name: svchost.exe_cbdhsvc, version: 10.0.22621.1, time stamp: 0x6dc5c2a5&#x000d;&#x000a;Faulting module name: SmartActionPlatform.dll, version: 10.0.22621.4111, time stamp: 0xa5505597&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x0000000000008805&#x000d;&#x000a;Faulting process id: 0x0x5F68&#x000d;&#x000a;Faulting application start time: 0x0x1DB18FEC7E573F1&#x000d;&#x000a;Faulting application path: C:\windows\system32\svchost.exe&#x000d;&#x000a;Faulting module path: C:\Windows\System32\SmartActionPlatform.dll&#x000d;&#x000a;Report Id: 90c41021-8d4e-4dad-b267-d1a1599ad4e7&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-07 9:32 PM","Application Error","Faulting application name: WerFault.exe, version: 10.0.22621.3810, time stamp: 0x1aa5faec&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4249, time stamp: 0x04b4d1a0&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x8298&#x000d;&#x000a;Faulting application start time: 0x0x1DB190074D9B694&#x000d;&#x000a;Faulting application path: C:\windows\SysWOW64\WerFault.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: 02e2b9ef-601f-4920-b993-b425f91d9b96&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
"2024-10-07 9:32 PM","Application Error","Faulting application name: AdobeARM.exe, version: 1.824.460.1091, time stamp: 0x66aa7004&#x000d;&#x000a;Faulting module name: ntdll.dll, version: 10.0.22621.4249, time stamp: 0x04b4d1a0&#x000d;&#x000a;Exception code: 0xc0000005&#x000d;&#x000a;Fault offset: 0x00044059&#x000d;&#x000a;Faulting process id: 0x0x4AA4&#x000d;&#x000a;Faulting application start time: 0x0x1DB190073FCE481&#x000d;&#x000a;Faulting application path: C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe&#x000d;&#x000a;Faulting module path: C:\windows\SYSTEM32\ntdll.dll&#x000d;&#x000a;Report Id: cc3597b0-777a-421d-a24b-4b088fe2c50c&#x000d;&#x000a;Faulting package full name: &#x000d;&#x000a;Faulting package-relative application ID:"
